Test	Cpx	Angle	Inter	Dist	Minimizer	RMSD
1000	1QDL	30	1i1q_CB	normal	0	71.1995337078525
1000	1QDL	30	1i1q_DB	normal	0	18.579176461417934
1000	1QDL	30	1i1q_CB	normal	0	67.30158518862113
1000	1QDL	30	1i1q_CB	normal	0	61.93111995282632
1000	1QDL	30	1i1q_CB	normal	0	60.782201272138586
1000	1QDL	30	1i1q_CB	normal	0	61.02775395525475
1000	1QDL	30	1i1q_DB	normal	0	20.876292256859273
1000	1QDL	30	1i1q_CB	normal	0	67.49904076172301
1000	1QDL	30	1i1q_DB	normal	0	22.749724628630172
1000	1QDL	30	1i1q_DB	normal	0	20.829354725409832
1000	1QDL	30	1i1q_DB	normal	0	24.87405574494661
1000	1QDL	30	1i1q_CB	normal	0	57.31754121746909
1000	1QDL	30	1i1q_DB	normal	0	22.978651670424522
1000	1QDL	30	1i1q_DB	normal	0	24.438184351680345
1000	1QDL	30	1i1q_CB	normal	0	60.433933167535336
1000	1QDL	30	1i1q_CB	normal	0	61.00910560270672
1000	1QDL	30	1i1q_CB	normal	0	77.55953232315946
1000	1QDL	30	1i1q_CB	normal	0	60.24961387327417
1000	1QDL	30	1i1q_CB	normal	0	86.04121256847623
1000	1QDL	30	1i1q_CB	normal	0	65.60423320226718
1000	1QDL	30	1i1q_DB	normal	0	23.51274922127448
1000	1QDL	30	1i1q_CB	normal	0	81.50971326413132
1000	1QDL	30	1i1q_CB	normal	0	67.52001603998644
1000	1QDL	30	1i1q_DB	normal	0	25.04151787338061
1000	1QDL	30	1i1q_CB	normal	0	67.46851455221064
1000	1QDL	30	1i1q_CB	normal	0	63.143128635883215
1000	1QDL	30	1i1q_DB	normal	0	23.15885867600024
1000	1QDL	30	1i1q_DB	normal	0	18.84732418791975
1000	1QDL	30	1i1q_DB	normal	0	24.869848596231613
1000	1QDL	30	1i1q_CB	normal	0	62.862699620520026
1000	1QDL	30	1i1q_DB	normal	0	23.4522051611346
1000	1QDL	30	1i1q_CB	normal	0	60.977496512253374
1000	1QDL	30	1i1q_CB	normal	0	72.54922786359353
1000	1QDL	30	1i1q_CB	normal	0	67.40000914080142
1000	1QDL	30	1i1q_DB	normal	0	20.050084045374916
1000	1QDL	30	1i1q_DB	normal	0	22.946389788378617
1000	1QDL	30	1i1q_DB	normal	0	21.278644222241542
1000	1QDL	30	1i1q_CB	normal	0	55.83517895113118
1000	1QDL	30	1i1q_CB	normal	0	81.51450914775293
1000	1QDL	30	1i1q_DB	normal	0	22.641658587565274
1000	1QDL	30	1i1q_CB	normal	0	73.31155855990409
1000	1QDL	30	1i1q_DB	normal	0	30.12089559441986
1000	1QDL	30	1i1q_CB	normal	0	79.3688395897559
1000	1QDL	30	1i1q_DB	normal	0	25.36858212431399
1000	1QDL	30	1i1q_CB	normal	0	56.47512099826687
1000	1QDL	30	1i1q_DB	normal	0	30.26753776396574
1000	1QDL	30	1i1q_CB	normal	0	78.93387874480644
1000	1QDL	30	1i1q_CB	normal	0	55.88717776324785
1000	1QDL	30	1i1q_DB	normal	0	17.864815364520076
1000	1QDL	30	1i1q_CB	normal	0	77.58977180758845
1000	1QDL	30	1i1q_DB	normal	0	25.667257772947945
1000	1QDL	30	1i1q_CB	normal	0	68.55184167860648
1000	1QDL	30	1i1q_DB	normal	0	19.518970380941848
1000	1QDL	30	1i1q_CB	normal	0	60.76086758354296
1000	1QDL	30	1i1q_CB	normal	0	65.74124119239356
1000	1QDL	30	1i1q_DB	normal	0	26.255607605672733
1000	1QDL	30	1i1q_DB	normal	0	19.486707469418967
1000	1QDL	30	1i1q_CB	normal	0	58.64402960436994
1000	1QDL	30	1i1q_CB	normal	0	70.64276642041087
1000	1QDL	30	1i1q_DB	normal	0	21.835701426744553
1000	1QDL	30	1i1q_DB	normal	0	28.338088173434905
1000	1QDL	30	1i1q_DB	normal	0	23.12213134333897
1000	1QDL	30	1i1q_CB	normal	0	75.72138663357977
1000	1QDL	30	1i1q_DB	normal	0	26.899604732205088
1000	1QDL	30	1i1q_CB	normal	0	71.7014987772578
1000	1QDL	30	1i1q_CB	normal	0	55.99281976598455
1000	1QDL	30	1i1q_DB	normal	0	28.866218809897685
1000	1QDL	30	1i1q_DB	normal	0	21.982953917508805
1000	1QDL	30	1i1q_DB	normal	0	20.400513417427554
1000	1QDL	30	1i1q_CB	normal	0	62.99511174808445
1000	1QDL	30	1i1q_DB	normal	0	26.037245771188196
1000	1QDL	30	1i1q_DB	normal	0	30.3536897671381
1000	1QDL	30	1i1q_DB	normal	0	20.48538648405013
1000	1QDL	30	1i1q_DB	normal	0	21.570106798474857
1000	1QDL	30	1i1q_DB	normal	0	20.37622731921599
1000	1QDL	30	1i1q_CB	normal	0	81.48945484580105
1000	1QDL	30	1i1q_CB	normal	0	70.71846074659699
1000	1QDL	30	1i1q_DB	normal	0	21.123689778981117
1000	1QDL	30	1i1q_DB	normal	0	22.32295772525709
1000	1QDL	30	1i1q_DB	normal	0	29.320103767363896
1000	1QDL	30	1i1q_DB	normal	0	22.660624559174856
1000	1QDL	30	1i1q_DB	normal	0	22.628590079737005
1000	1QDL	30	1i1q_DB	normal	0	22.373204412359243
